id,name,section,country,image
314,IRISH RED AND WHITE SETTER,British and Irish Pointers and Setters,IRELAND,
315,ANATOLIAN SHEPHERD DOG,Molossian type,ANATOLIA,http://www.fci.be/Nomenclature/Illustrations/331g02.jpg
316,CZECHOSLOVAKIAN WOLFDOG,Sheepdogs,SLOVAKIA,
317,POLISH GREYHOUND,Short-haired Sighthounds,POLAND,
318,KOREA JINDO DOG,Asian Spitz and related breeds,REPUBLIC OF KOREA,http://www.fci.be/Nomenclature/Illustrations/334g05.jpg
319,CENTRAL ASIA SHEPHERD DOG,Molossian type,RUSSIA,http://www.fci.be/Nomenclature/Illustrations/335g02-1.jpg
320,SPANISH WATER DOG,Water Dogs,SPAIN,
321,ITALIAN SHORT-HAIRED SEGUGIO,Scent hounds,ITALY,http://www.fci.be/Nomenclature/Illustrations/337g06.jpg
322,THAI RIDGEBACK DOG,Primitive type - Hunting Dogs,THAILAND,
323,PARSON RUSSELL TERRIER,Large and medium sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/339g03.jpg
324,SAINT MIGUEL CATTLE DOG,Molossian type,PORTUGAL,
325,BRAZILIAN TERRIER,Large and medium sized Terriers,BRAZIL,http://www.fci.be/Nomenclature/Illustrations/341g03.jpg
326,AUSTRALIAN SHEPHERD,Sheepdogs,UNITED STATES OF AMERICA,
327,ITALIAN CORSO DOG,Molossian type,ITALY,http://www.fci.be/Nomenclature/Illustrations/343g02.jpg
328,AMERICAN AKITA,Asian Spitz and related breeds,JAPAN,
329,JACK RUSSELL TERRIER,Small sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/345g03-2.jpg
330,DOGO CANARIO,Molossian type,SPAIN,
331,WHITE SWISS SHEPHERD DOG,Sheepdogs,SWITZERLAND,http://www.fci.be/Nomenclature/Illustrations/347g01-1.jpg
332,TAIWAN DOG,Primitive type - Hunting Dogs,TAIWAN,
333,ROMANIAN MIORITIC SHEPHERD DOG,Sheepdogs,ROMANIA,
334,ROMANIAN CARPATHIAN SHEPHERD DOG,Sheepdogs,ROMANIA,http://www.fci.be/Nomenclature/Illustrations/350g01.jpg
335,AUSTRALIAN STUMPY TAIL CATTLE DOG,Cattledogs (except Swiss Cattledogs),AUSTRALIA,
336,RUSSIAN TOY,Continental Toy Spaniel and Russian Toy,RUSSIA,http://www.fci.be/Nomenclature/Illustrations/352g09-1.jpg
337,CIMARRÓN URUGUAYO,Molossian type,URUGUAY,
338,POLISH HUNTING DOG,Scent hounds,POLAND,
339,BOSNIAN AND HERZEGOVINIAN - CROATIAN SHEPHERD DOG,Molossian type,BOSNIA AND HERZEGOVINA/CROATIA,
340,DANISH-SWEDISH FARMDOG,Pinscher and Schnauzer type,DENMARK/SWEDEN,
341,SOUTHEASTERN EUROPEAN SHEPHERD,Molossian type,SOUTH-EASTERN EUROPE,http://www.fci.be/Nomenclature/Illustrations/357g02.jpg
342,THAI BANGKAEW DOG,Asian Spitz and related breeds,THAILAND,http://www.fci.be/Nomenclature/Illustrations/358g05.jpg
343,MINIATURE BULL TERRIER,Bull type Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/359g03.jpg
344,LANCASHIRE HEELER,Sheepdogs,ENGLAND,http://www.fci.be/Nomenclature/Illustrations/360g01.jpg
345,LABRADOR RETRIEVER MIX,Mutt,NA,
346,HUSKY MIX,Mutt,NA,
347,LABRADOR / GREAT DANE MIX,Mutt,NA,
348,TERRIER MIX,Mutt,NA,
349,BEAGLE MIX,Mutt,NA,
350,SHORT HAIRED SETTER MIX,Mutt,NA,
