id,name,section,country,image
124,HAMILTONSTÖVARE,Scent hounds,SWEDEN,http://www.fci.be/Nomenclature/Illustrations/132g06.jpg
125,FRENCH POINTING DOG - GASCOGNE TYPE,Continental Pointing Dogs,FRANCE,
126,FRENCH POINTING DOG - PYRENEAN TYPE,Continental Pointing Dogs,FRANCE,
127,SWEDISH LAPPHUND,Nordic Watchdogs and Herders,SWEDEN,
128,CAVALIER KING CHARLES SPANIEL,English Toy Spaniels,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/136g09.jpg
129,PYRENEAN MOUNTAIN DOG,Molossian type,FRANCE,http://www.fci.be/Nomenclature/Illustrations/137g02.jpg
130,PYRENEAN SHEEPDOG - SMOOTH FACED,Sheepdogs,FRANCE,http://www.fci.be/Nomenclature/Illustrations/138g01.jpg
131,IRISH TERRIER,Large and medium sized Terriers,IRELAND,
132,BOSTON TERRIER,Small Molossian type Dogs,UNITED STATES OF AMERICA,
133,LONG-HAIRED PYRENEAN SHEEPDOG,Sheepdogs,FRANCE,http://www.fci.be/Nomenclature/Illustrations/141g01.jpg
134,SLOVAKIAN CHUVACH,Sheepdogs,SLOVAKIA,
135,DOBERMANN,Pinscher and Schnauzer type,GERMANY,http://www.fci.be/Nomenclature/Illustrations/143g02.jpg
136,BOXER,Molossian type,GERMANY,http://www.fci.be/Nomenclature/Illustrations/144g02.jpg
137,LEONBERGER,Molossian type,GERMANY,
138,RHODESIAN RIDGEBACK,Related breeds,SOUTH AFRICA,
139,ROTTWEILER,Molossian type,GERMANY,
140,DACHSHUND,None,GERMANY,http://www.fci.be/Nomenclature/Illustrations/148g04-1.jpg
141,BULLDOG,Molossian type,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/149g02.jpg
142,SERBIAN HOUND,Scent hounds,SERBIA,http://www.fci.be/Nomenclature/Illustrations/150g06.jpg
143,ISTRIAN SHORT-HAIRED HOUND,Scent hounds,CROATIA,http://www.fci.be/Nomenclature/Illustrations/151g06.jpg
144,ISTRIAN WIRE-HAIRED HOUND,Scent hounds,CROATIA,http://www.fci.be/Nomenclature/Illustrations/152g06.jpg
145,DALMATIAN,Related breeds,CROATIA,http://www.fci.be/Nomenclature/Illustrations/153g06.jpg
146,POSAVATZ HOUND,Scent hounds,CROATIA,http://www.fci.be/Nomenclature/Illustrations/154g06.jpg
147,BOSNIAN BROKEN-HAIRED HOUND - CALLED BARAK,Scent hounds,BOSNIA AND HERZEGOVINA,http://www.fci.be/Nomenclature/Illustrations/155g06.jpg
148,COLLIE ROUGH,Sheepdogs,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/156g01.jpg
149,BULLMASTIFF,Molossian type,GREAT BRITAIN,
150,GREYHOUND,Short-haired Sighthounds,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/158g10.jpg
151,ENGLISH FOXHOUND,Scent hounds,GREAT BRITAIN,
152,IRISH WOLFHOUND,Rough-haired Sighthounds,IRELAND,
153,BEAGLE,Scent hounds,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/161g06.jpg
154,WHIPPET,Short-haired Sighthounds,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/162g10.jpg
155,BASSET HOUND,Scent hounds,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/163g06.jpg
156,DEERHOUND,Rough-haired Sighthounds,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/164g10.jpg
157,ITALIAN SPINONE,Continental Pointing Dogs,ITALY,
158,GERMAN SHEPHERD DOG,Sheepdogs,GERMANY,http://www.fci.be/Nomenclature/Illustrations/166g01-1.jpg
159,AMERICAN COCKER SPANIEL,Flushing Dogs,UNITED STATES OF AMERICA,
160,DANDIE DINMONT TERRIER,Small sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/168g03.jpg
161,FOX TERRIER (WIRE),Large and medium sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/169g03.jpg
162,CASTRO LABOREIRO DOG,Molossian type,PORTUGAL,http://www.fci.be/Nomenclature/Illustrations/170g02.jpg
163,BOUVIER DES ARDENNES,Cattledogs (except Swiss Cattledogs),BELGIUM,
164,POODLE,Poodle,FRANCE,http://www.fci.be/Nomenclature/Illustrations/172g09.jpg
165,ESTRELA MOUNTAIN DOG,Molossian type,PORTUGAL,http://www.fci.be/Nomenclature/Illustrations/173g02.jpg
166,FRENCH SPANIEL,Continental Pointing Dogs,FRANCE,http://www.fci.be/Nomenclature/Illustrations/175g07.jpg
167,PICARDY SHEEPDOG,Sheepdogs,FRANCE,
168,ARIEGE POINTING DOG,Continental Pointing Dogs,FRANCE,
169,BOURBONNAIS POINTING DOG,Continental Pointing Dogs,FRANCE,http://www.fci.be/Nomenclature/Illustrations/179g07.jpg
170,AUVERGNE POINTER,Continental Pointing Dogs,FRANCE,http://www.fci.be/Nomenclature/Illustrations/180g07.jpg
171,GIANT SCHNAUZER,Pinscher and Schnauzer type,GERMANY,http://www.fci.be/Nomenclature/Illustrations/181g02.jpg
172,SCHNAUZER,Pinscher and Schnauzer type,GERMANY,http://www.fci.be/Nomenclature/Illustrations/182g02.jpg
173,MINIATURE SCHNAUZER,Pinscher and Schnauzer type,GERMANY,http://www.fci.be/Nomenclature/Illustrations/183g02.jpg
174,GERMAN PINSCHER,Pinscher and Schnauzer type,GERMANY,http://www.fci.be/Nomenclature/Illustrations/184g02.jpg
175,MINIATURE PINSCHER,Pinscher and Schnauzer type,GERMANY,http://www.fci.be/Nomenclature/Illustrations/185g02.jpg
176,AFFENPINSCHER,Pinscher and Schnauzer type,GERMANY,http://www.fci.be/Nomenclature/Illustrations/186g02.jpg
177,PORTUGUESE POINTING DOG,Continental Pointing Dogs,PORTUGAL,http://www.fci.be/Nomenclature/Illustrations/187g07.jpg
178,SLOUGHI,Short-haired Sighthounds,MOROCCO,
179,FINNISH LAPPHUND,Nordic Watchdogs and Herders,FINLAND,
180,HOVAWART,Molossian type,GERMANY,
181,BOUVIER DES FLANDRES,Cattledogs (except Swiss Cattledogs),BELGIUM/FRANCE,
182,KROMFOHRLÄNDER,Kromfohrländer,GERMANY,http://www.fci.be/Nomenclature/Illustrations/192g09.jpg
183,BORZOI - RUSSIAN HUNTING SIGHTHOUND,Long-haired or fringed Sighthounds,RUSSIA,http://www.fci.be/Nomenclature/Illustrations/193g10.jpg
184,BERGAMASCO SHEPHERD DOG,Sheepdogs,ITALY,http://www.fci.be/Nomenclature/Illustrations/194g01-1.jpg
185,ITALIAN VOLPINO,European Spitz,ITALY,
186,BOLOGNESE,Bichons and related breeds,ITALY,
187,NEAPOLITAN MASTIFF,Molossian type,ITALY,
188,ITALIAN ROUGH-HAIRED SEGUGIO,Scent hounds,ITALY,http://www.fci.be/Nomenclature/Illustrations/198g06.jpg
189,CIRNECO DELL'ETNA,Primitive type - Hunting Dogs,ITALY,
190,ITALIAN GREYHOUND,Short-haired Sighthounds,ITALY,
191,MAREMMA AND THE ABRUZZES SHEEPDOG,Sheepdogs,ITALY,
192,ITALIAN POINTING DOG,Continental Pointing Dogs,ITALY,
193,NORWEGIAN HOUND,Scent hounds,NORWAY,http://www.fci.be/Nomenclature/Illustrations/203g06.jpg
194,SPANISH HOUND,Scent hounds,SPAIN,
195,CHOW CHOW,Asian Spitz and related breeds,CHINA,http://www.fci.be/Nomenclature/Illustrations/205g05.jpg
196,JAPANESE CHIN,Japan Chin and Pekingese,JAPAN,http://www.fci.be/Nomenclature/Illustrations/206g09.jpg
197,PEKINGESE,Japan Chin and Pekingese,CHINA,http://www.fci.be/Nomenclature/Illustrations/207g09.jpg
198,SHIH TZU,Tibetan breeds,Tibet (China),http://www.fci.be/Nomenclature/Illustrations/208g09.jpg
199,TIBETAN TERRIER,Tibetan breeds,Tibet (China),http://www.fci.be/Nomenclature/Illustrations/209g09.jpg
200,SAMOYED,Nordic Sledge Dogs,NORTHERN RUSSIA/SIBERIA,
201,HANOVERIAN SCENTHOUND,Leash (scent) Hounds,GERMANY,http://www.fci.be/Nomenclature/Illustrations/213g06-1.jpg
202,HELLENIC HOUND,Scent hounds,GREECE,
203,BICHON FRISE,Bichons and related breeds,BELGIUM/FRANCE,
204,PUDELPOINTER,Continental Pointing Dogs,GERMANY,
205,BAVARIAN MOUNTAIN SCENT HOUND,Leash (scent) Hounds,GERMANY,http://www.fci.be/Nomenclature/Illustrations/217g06.jpg
206,CHIHUAHUA,Chihuahueno,MEXICO,http://www.fci.be/Nomenclature/Illustrations/218g09-1.jpg
207,FRENCH TRICOLOUR HOUND,Scent hounds,FRANCE,
208,FRENCH WHITE & BLACK HOUND,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/220g06.jpg
209,FRISIAN WATER DOG,Water Dogs,THE NETHERLANDS,
210,STABIJHOUN,Continental Pointing Dogs,THE NETHERLANDS,http://www.fci.be/Nomenclature/Illustrations/222g07-1.jpg
211,DUTCH SHEPHERD DOG,Sheepdogs,THE NETHERLANDS,http://www.fci.be/Nomenclature/Illustrations/223g01-1.jpg
212,DRENTSCHE PARTRIDGE DOG,Continental Pointing Dogs,THE NETHERLANDS,
213,FILA BRASILEIRO,Molossian type,BRAZIL,http://www.fci.be/Nomenclature/Illustrations/225g02.jpg
214,LANDSEER (EUROPEAN CONTINENTAL TYPE),Molossian type,GERMANY/SWITZERLAND,
215,LHASA APSO,Tibetan breeds,Tibet (China),http://www.fci.be/Nomenclature/Illustrations/227g09.jpg
216,AFGHAN HOUND,Long-haired or fringed Sighthounds,AFGHANISTAN,http://www.fci.be/Nomenclature/Illustrations/228g10.jpg
217,SERBIAN TRICOLOUR HOUND,Scent hounds,SERBIA,http://www.fci.be/Nomenclature/Illustrations/229g06.jpg
218,TIBETAN MASTIFF,Molossian type,Tibet (China),
219,TIBETAN SPANIEL,Tibetan breeds,Tibet (China),http://www.fci.be/Nomenclature/Illustrations/231g09.jpg
220,DEUTSCH STICHELHAAR,Continental Pointing Dogs,GERMANY,http://www.fci.be/Nomenclature/Illustrations/232g07.jpg
221,LITTLE LION DOG,Bichons and related breeds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/233g09.jpg
222,XOLOITZCUINTLE,Primitive type,MEXICO,http://www.fci.be/Nomenclature/Illustrations/234g05-1.jpg
223,GREAT DANE,Molossian type,GERMANY,http://www.fci.be/Nomenclature/Illustrations/235g02.jpg
224,AUSTRALIAN SILKY TERRIER,Toy Terriers,AUSTRALIA,http://www.fci.be/Nomenclature/Illustrations/236g03.jpg
225,NORWEGIAN BUHUND,Nordic Watchdogs and Herders,NORWAY,http://www.fci.be/Nomenclature/Illustrations/237g05.jpg
226,MUDI,Sheepdogs,HUNGARY,http://www.fci.be/Nomenclature/Illustrations/238g01.jpg
227,HUNGARIAN WIRE-HAIRED POINTER,Continental Pointing Dogs,HUNGARY,http://www.fci.be/Nomenclature/Illustrations/239g07.jpg
228,HUNGARIAN GREYHOUND,Short-haired Sighthounds,HUNGARY,http://www.fci.be/Nomenclature/Illustrations/240g10.jpg
229,HUNGARIAN HOUND - TRANSYLVANIAN SCENT HOUND,Scent hounds,HUNGARY,http://www.fci.be/Nomenclature/Illustrations/241g06.jpg
230,NORWEGIAN ELKHOUND GREY,Nordic Hunting Dogs,NORWAY,http://www.fci.be/Nomenclature/Illustrations/242g05.jpg
231,ALASKAN MALAMUTE,Nordic Sledge Dogs,UNITED STATES OF AMERICA,
232,SLOVAKIAN HOUND,Scent hounds,SLOVAKIA,
233,BOHEMIAN WIRE-HAIRED POINTING GRIFFON,Continental Pointing Dogs,CZECH REPUBLIC,
234,CESKY TERRIER,Small sized Terriers,CZECH REPUBLIC,http://www.fci.be/Nomenclature/Illustrations/246g03.jpg
235,ATLAS MOUNTAIN DOG (AIDI),Molossian type,MOROCCO,
236,PHARAOH HOUND,Primitive type,MALTA,
237,MAJORCA MASTIFF,Molossian type,SPAIN,
238,HAVANESE,Bichons and related breeds,WESTERN MEDITERRANEAN BASIN,
239,POLISH LOWLAND SHEEPDOG,Sheepdogs,POLAND,http://www.fci.be/Nomenclature/Illustrations/251g01.jpg
240,TATRA SHEPHERD DOG,Sheepdogs,POLAND,http://www.fci.be/Nomenclature/Illustrations/252g01.jpg
241,PUG,Small Molossian type Dogs,CHINA,http://www.fci.be/Nomenclature/Illustrations/253g09.jpg
242,ALPINE DACHSBRACKE,Leash (scent) Hounds,AUSTRIA,
243,AKITA,Asian Spitz and related breeds,JAPAN,http://www.fci.be/Nomenclature/Illustrations/255g05.jpg
244,SHIBA,Asian Spitz and related breeds,JAPAN,http://www.fci.be/Nomenclature/Illustrations/257g05.jpg
245,JAPANESE TERRIER,Small sized Terriers,JAPAN,http://www.fci.be/Nomenclature/Illustrations/259g03.jpg
246,TOSA,Molossian type,JAPAN,http://www.fci.be/Nomenclature/Illustrations/260g02.jpg
247,HOKKAIDO,Asian Spitz and related breeds,JAPAN,http://www.fci.be/Nomenclature/Illustrations/261g05.jpg
248,JAPANESE SPITZ,Asian Spitz and related breeds,JAPAN,http://www.fci.be/Nomenclature/Illustrations/262g05.jpg
249,CHESAPEAKE BAY RETRIEVER,Retrievers,UNITED STATES OF AMERICA,
250,MASTIFF,Molossian type,GREAT BRITAIN,
251,NORWEGIAN LUNDEHUND,Nordic Hunting Dogs,NORWAY,http://www.fci.be/Nomenclature/Illustrations/265g05.jpg
252,HYGEN HOUND,Scent hounds,NORWAY,http://www.fci.be/Nomenclature/Illustrations/266g06.jpg
253,HALDEN HOUND,Scent hounds,NORWAY,http://www.fci.be/Nomenclature/Illustrations/267g06.jpg
254,NORWEGIAN ELKHOUND BLACK,Nordic Hunting Dogs,NORWAY,http://www.fci.be/Nomenclature/Illustrations/268g05.jpg
255,SALUKI,Long-haired or fringed Sighthounds,MIDDLE EAST,
256,SIBERIAN HUSKY,Nordic Sledge Dogs,UNITED STATES OF AMERICA,
257,BEARDED COLLIE,Sheepdogs,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/271g01.jpg
258,NORFOLK TERRIER,Small sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/272g03.jpg
259,CANAAN DOG,Primitive type,ISRAEL,
260,GREENLAND DOG,Nordic Sledge Dogs,GREENLAND,http://www.fci.be/Nomenclature/Illustrations/274g05.jpg
