breed,color,dogName,zip
PARSON RUSSELL TERR,SPOTTED,CHEESE,15137
MALTESE,WHITE,BEAR,15132
ENG SPRINGER SPANIE,WHITE/LIVER,BAILEY,15237
BEAGLE,WHITE/BLACK,LACIE,15126
MIXED,.,ROSIE,15202
GER SHEPHERD MIX,BLACK/BROWN,REX,15120
POODLE MIX,BLACK/BROWN,GINO,15065
PAPILLON,WHITE/BLACK/BROWN,NICKY,15239
LABRADOR RETRIEVER,BLACK,SAVANNAH,15108
LAB MIX,WHITE/TAN,BUDDY,15202
SHIH TZU,BROWN,TAZ,15122
LAB MIX,BLACK,CHARLIE,15090
MIXED,BEIGE,SIDNEY,15102
MIXED,WHITE/BLACK,BEAU,15227
LAB MIX,WHITE/TAN,RALPHIE,15202
LAB MIX,WHITE/BLACK,DOTTIE,15216
MIN PINSCHER,BLACK/BROWN,CROSBY,15220
MIXED,BROWN,ROCKY,15227
MIXED,TAN,OLIVE,15136
MIXED,WHITE/BLACK/BROWN,MAXIMUS,16046
MIXED,WHITE/BLACK/BROWN,MAXIMUS,16046
LAB MIX,YELLOW,VINCENT,15236
SHETLAND SHEEPDOG,WHITE/BLACK/BROWN,CHASE,15205
MIXED,WHITE/BLACK,OREO,15237
LABRADOR RETRIEVER,BLACK,BANDON,15108
YORKSHIRE TERR MIX,BLACK/TAN/WHITE,MISS DEE LUCY,15037
BOXER,BRINDLE,TYSON,15202
LABRADOR RETRIEVER,BROWN,JUNO,15143
GREAT PYRENEES,WHITE,LAMBERT,15236
PARSON RUSSELL TERR,WHITE/BROWN,HARLEY,15102
BOXER,BRINDLE,MUGSY,15243
W HGHLND WH TERRIER,WHITE,GRACIE,15120
TERRIER MIX,BLACK/BROWN,MISSY KEYNO,15237
POODLE MIX,WHITE,RILEY,15056
SHIBA INU,RED,TOSHI,15037
BORD COLLIE MIX,BLACK,MAX,15090
SILKY TERRIER,WHITE/GREY,CHLOE,15239
YORKSHIRE TERR MIX,WHITE,MIA,15236
GER SHEPHERD MIX,BLACK/BROWN,SHEBA,15044
BRITTANY SPANIEL,ORANGE/WHITE,EMMALEE,15044
SCHNAUZER MIN,BLACK/GREY,KINGSTON,15071
MIXED,WHITE/BROWN,JADAN,15143
ROTTWEILER,BLACK,KIESEL,15065
ROTTWEILER,BLACK,KIESEL,15065
COLLIE MIX,BLACK/GREY,SHADOW,15220
BOXER MIX,WHITE/FAWN,DEEZEL,15044
MIXED,WHITE,MAYA,15332
MIXED,WHITE/BLACK,LADY,15014
LAB MIX,BLACK/RED,SENECA,15049
LAB MIX,BLACK,BAILEYS,15136
BOSTON TERRIER,WHITE/BLACK,KIRBY,15227
BOSTON TERRIER,WHITE/BLACK,AGGIE,15025
BOXER,WHITE,XANDER,15147
DACHSHUND,RED/BROWN,LIBBY LOU THON,15101
PEEKAPOO,BLACK,SHADOW,15017
MIXED,BLACK,ELA,16046
GOLDENDOODLE,GOLD,RAI,15234
MIXED,BROWN,JULIET,15243
BORD COLLIE,WHITE/BLACK/GREY,ELLIE,15235
POODLE TOY,BLACK,ZEUS,15024
YORKSHIRE TERRIER,BLACK/BROWN,DOTTIE,15047
RHODESIAN RIDGEBACK,BROWN,BOWIE,15143
TERRIER MIX,BLACK,CAM BABY,15044
BASSET HOUND,WHITE/TAN,CLYDE,15220
LAB MIX,BLACK,CARLIN,15025
W HGHLND WH TERRIER,WHITE,BELLA,15221
MIXED,WHITE,PUPPA,15068
LABRADOR RETRIEVER,BLONDE,ROMAN,15212
LABRADOR RETRIEVER,BLONDE,ROMAN,15212
CHIHUAHUA,BROWN,COCOA,15108
MIXED,WHITE,GIZZY,15120
MIXED,WHITE/BLACK/BROWN,SAMMY,15057
SHIH TZU,WHITE/BLACK,BUBBA,15241
SIB HUSKY MIX,WHITE/BLACK/BROWN,ZOEE,15147
SHETLAND SHEEPDOG,SABLE,LUCY,15239
BICHON FRISE,WHITE,LAGUNA,15108
CHIHUAHUA MIX,BRINDLE,SOPHIE,15102
ENGLISH MASTIFF,FAWN,KIRBY,15218
GER SHEPHERD MIX,BROWN,KIA,15116
COCKER SPANIEL,BEIGE,LUCKEE,15202
GER SHEPHERD,BLACK,BARON,15146
TERRIER MIX,WHITE/BLACK,DOMINO,15235
ROTTWEILER,BLACK,LADY DUTCHESS,15136
ROTTWEILER,BLACK,LADY DUTCHESS,15136
COCKAPOO,BEIGE,MADISON,15228
LABRADOR RETRIEVER,BLACK,SPENCER,15243
MIXED,BLACK/BROWN,SNICKERS,15116
MIXED,BLACK,SAMMY,15112
LAB MIX,BLACK,LUCY,15241
AM PIT BULL TERRIER,WHITE,PINKY,15241
BRUSSELS GRIFFON,BEIGE,GRIFFIN,15239
SHIH TZU,WHITE/BROWN,BABY MIDGE,15126
GOLDEN RETRIEVER,WHITE,KOBI,15142
MIXED,BROWN,CHUCKY T,15147
BEAGLE,WHITE/BLACK/BROWN,EMILY,15214
TERRIER MIX,BLACK,SADIE,15218
TERRIER MIX,BLACK,SADIE,15218
TERRIER MIX,BLACK,SADIE,15218
TERRIER MIX,BLACK,SADIE,15218
AM PITT BULL MIX,BROWN,BAILEY,15116
DACHSHUND,RED,THEODORE,15243
COCKAPOO,BLACK,DASH,15090
COCKAPOO,BLACK,DASH,15090
MIXED,YELLOW,DAISY,15227
PUG,WHITE/BLACK,MUGSY,15065
LABRADOR RETRIEVER,BLACK,KENZI,15102
GOLDEN RETRIEVER,GOLD,BUCK,15024
GOLDENDOODLE,TAN,JAKE,15143
SHIH TZU,WHITE,OLLIE,15063
AUS CATTLE DOG,BROWN,BRODY,15037
AUS CATTLE DOG,WHITE,BAILEY,15037
AUS CATTLE DOG,BLACK,GRIFTER,15235
POODLE MIX,TAN,NIKKI,15101
WELSH CORGI CARDIGA,BLACK/BROWN,MILO,15215
BEAGLE,WHITE/BLACK/BROWN,KENTUCKY'S BANDIT,15209
BEAGLE MIX,BLACK/BROWN,HEATH,15241
COCKAPOO,SPOTTED,SUNNY,15102
MIXED,BLACK/BROWN,COCO,15220
GOLDEN RETRIEVER,GOLD,WILLIE,15238
BEAGLE,WHITE/BLACK/BROWN,HALEY,15084
ST BERNARD,BROWN,MURPHY,15131
GER SHEPHERD MIX,BROWN,LUCY,15147
LAB MIX,WHITE/BLACK,ACE,15044
YORKSHIRE TERRIER,GREY,LILLY,15090
ROTTWEILER,BLACK/BROWN,NIKO,15132
ENGLISH MASTIFF,BLACK/BRINDLE,DOZER DADDY HOPSON,15235
MIXED,WHITE,DUNCA,15209
HAVANESE,WHITE/BLACK,TUGBOAT,15238
BOXER,BLACK WITH WHITE,POPPY DEE,15132
LAB MIX,BLACK,POP,15234
CHIHUAHUA MIX,TAN,BELLA PAYNE,15051
LAB MIX,RED,RUSTY,15126
MIXED,BLACK/TAN,LOLA,15037
GER SHORTHAIR POINT,SPOTTED,REMMIE,15063
BOXER MIX,BROWN,SIDNEY,15237
POODLE MIN,SPOTTED,PRINCE,15237
CHIHUAHUA MIX,BLACK,CORRIE,15146
LABRADOR RETRIEVER,SILVER,JACK,15017
SHETLAND SHEEP MIX,SABLE/WHITE,LEVI,15090
LABRADOR RETRIEVER,YELLOW,CHARLIE,15202
MIXED,BEIGE,SOPHIE,15221
BEAGLE,BLACK,PATCHES,15025
SHIH TZU,WHITE/BROWN,TROOPER,15102
PEEKAPOO,BLACK,CRYSTAL CLAIRE,15101
MIXED,WHITE/BLACK,OLIVER,15238
GREAT DANE,SPOTTED,HEIDI,15143
ENG SPRINGER SPANIE,SPOTTED,HERSHEY,15202
GER SHEPHERD MIX,BLACK/BROWN,MAX,15116
MIXED,BLACK/BROWN,CALLIE,15127
TERRIER MIX,WHITE/BRINDLE,ELLIE,15132
LABRADOR RETRIEVER,YELLOW,COOPER,15234
LABRADOR RETRIEVER,BLONDE,GOLDIE,15229
BEAGLE MIX,BLACK/BROWN,JOEY,15205
LAB MIX,BLACK,SANTANA,15017
LABRADOR RETRIEVER,BLACK,MIDNITE,15106
BEAGLE MIX,WHITE/TAN,BUDDY,15003
MIXED,TAN,HANNAH,15216
JAPANESE CHIN,WHITE/BLACK,LILY,15108
BEAGLE,WHITE/BLACK/BROWN,MOLLY,15221
GER SHEPHERD MIX,BROWN,JEFF,15220
MIXED,BROWN,RED,15228
FLAT COATED RETRIEV,BLACK,REAGAN MARIE,15108
GOLDEN RETRIEVER,GOLD,BENTLEY,15237
POMERANIAN,BLACK/RED,GUINNESS,15202
POMERANIAN,ORANGE,ZOIE,15108
WEIMARANER,GREY,GOLDIE,15227
AM PIT BULL TERRIER,BROWN,CHARLIE,15202
COCKAPOO,TAN,HARLEY,15228
GOLDEN RETRIEVER,TAN,JACKSON,15218
BEAGLE MIX,BLACK/BROWN,BUTTERBEAN,15235
POINTER,SPOTTED,JENNY,15241
MIXED,WHITE,MADDIE,15106
SHEPHERD MIX,SABLE,RILEY,15239
TERRIER MIX,BLACK/BROWN,MILLIE,15076
BEAGLE MIX,BLACK/BROWN,HONEY,15237
COCKER SPANIEL,SPOTTED,WINNIE,15101
COCKAPOO,WHITE/BLACK,OREO,15237
PUGGLE,BROWN,CLOE,15237
LAB MIX,BROWN,SOPHIE,15227
POODLE MIX,WHITE,MILO,15205
YORKSHIRE TERRIER,.,MADELYN,15146
YORKSHIRE TERRIER,.,MADELYN,15146
CHIHUAHUA,BLACK,MICKEY,15101
MIXED,BLACK/BROWN,CAYCE,15102
PARSON RUSSELL TERR,WHITE,CARA,15090
SIB HUSKY,GREY,PASHA,15238
BOXER,RED,MAX,15106
AUS SHEPHERD,MULTI,RILEY,15065
LABRADOR RETRIEVER,BLACK,RAVEN,15214
GER SHEPHERD,BLACK/BROWN,DUKE,15236
ST BERNARD,MULTI,BEN,15147
GOLDENDOODLE,BLACK,ROONEY,15102
GOLDENDOODLE,BLACK,ROONEY,15102
POODLE MIX,WHITE,BOO,15108
GER SHORTHAIR POINT,WHITE/LIVER,LILLY,15116
SHIH TZU,WHITE/BLACK,LIBBY LOU,15144
LHASA APSO,SPOTTED,SAMMIE,15122
SHETLAND SHEEPDOG,SABLE,LADY MAEVE MORNINGSTAR,15017
BEAGLE,TRI-COLOR,TIPPY,15236
SHIH TZU,WHITE/BLACK,OREO,15229
LAB MIX,BLACK,ROCKET,15101
CHIHUAHUA,BROWN,DEXTER,15044
SIB HUSKY,WHITE/RED,BAILEY,15137
W HGHLND WH TERRIER,WHITE,REVA,15229
DACHSHUND MIX,BRINDLE,ZOEY,15239
YORKSHIRE TERRIER,BLACK/BROWN,JASPER,15241
FOX TERRIER SMOOTH,WHITE/BLACK/BROWN,SIDNEY,15014
BEAGLE,WHITE/BLACK/BROWN,PEANUT,15235
SAMOYED,WHITE,SEA J,15146
BOXER,BROWN,MARTY,15237
LAB MIX,BLACK,ROXY,15017
AM PIT BULL TERRIER,WHITE/BLACK,MASON,15131
SHELTAND SHEEPDOG,.,LACY MARIE,15146
LABRADOR RETRIEVER,BLACK,MERCEDEZ,15116
VIZSLA,CINNAMON,MURPHY,15126
MIXED,WHITE/BLACK,SOPHIE,15090
GOLDEN RETRIEVER,BLONDE,KAYCEE MORGAN THORPE,15227
GREAT DANE,BLACK,ACE,15238
LAB MIX,BROWN,HUNTER,15237
GOLDEN RETRIEVER,GOLD,BUDDY,15102
CHIHUAHUA,BLACK/BROWN,TUBBIE,15209
BICHON FRISE,WHITE,ZIGGY,15146
AKITA,BLACK,MAKOTO,15143
LAB MIX,BLACK,RADAR,15148
LAB MIX,WHITE/BLACK,BAGGER,15235
SHIH TZU,WHITE,MUFFLIN,15135
SHETLAND SHEEPDOG,WHITE/BLACK/BROWN,BELANNA,15116
MIXED,BLACK/BROWN,MAX,15132
LAB MIX,BLACK,DAKOTA,15236
CAV KING CHAR SPANI,RED,KENZIE,15101
SHETLAND SHEEP MIX,BLACK/BROWN,RILEY,15120
SCHNAUZER MIN,WHITE,MUGSEY,15102
ROTTWEILER,BLACK,CHILL,15218
COCKAPOO,WHITE,MADDIE,15065
POODLE TOY,BLACK,DOLLY ANN,15037
CHIHUAHUA,WHITE/BROWN,SNOW FLAKE,15044
LABRADOODLE,TAN,TASHA,15102
BEAGLE,BROWN,BISCUIT,15045
SHIH TZU,WHITE/YELLOW,CHLOE,15090
LABRADOR RETRIEVER,CHOCOLATE,TOOTSIE,15108
BEAGLE,BLACK,SALLY,15120
BEAGLE,WHITE/BLACK/BROWN,VIOLET,15143
ROTTWEILER,BLACK/BROWN,TYSON,15220
COCKER SPANIEL,TAN,LILY,15014
OLD ENG SHEEPDOG,WHITE/BLACK,PHOEBE,15122
LABRADOR RETRIEVER,YELLOW,AUTUMN,15102
PARSON RUSSELL TERR,MULTI,BUDDY,15108
PARSON RUSSELL TERR,WHITE/BROWN,MONTY,15120
SHIH TZU,WHITE/BLACK,PRINCESS,15129
MIXED,BLACK/BROWN,TINKER,15147
MIXED,WHITE,LILLY,15014
LABRADOR RETRIEVER,CHOCOLATE,MATTIE,15017
LABRADOR RETRIEVER,BLACK,VIRGIL,15017
YORKSHIRE TERRIER,BLACK/BROWN,IZZY,15239
AM PIT BULL TERRIER,BROWN,RUFUS,15239
AM PIT BULL TERRIER,BROWN,RUFUS,15239
MIXED,BROWN,RUTH,15090
MIXED,SPOTTED,DARCEY,15229
MIXED,SPOTTED,DARCEY,15229
GER SHEPHERD,BLACK/BROWN,AMBER,15214
BEAGLE,WHITE/BLACK,CAMI,15241
SCHNOODLE,WHITE/BROWN,AGATHA,15228
MIXED,GOLD,LORELEI,15102
MIXED,BLACK,PSYCHO,15228
MIXED,BROWN,DINGO,15228
MIXED,BLACK,SAM,15228
AM ESKIMO DOG,WHITE,LONDON,15108
GOLDEN RETRIEV MIX,GOLD,JASMINE,15143
MIXED,YELLOW,SAM,15221
PARSON RUSSELL TERR,SPOTTED,DINO,15235
BICHON FRISE,WHITE,MURPHY,15227
MIXED,MULTI,LOUE,15205
MALTESE,WHITE,CHAMP BABETTE,15145
MALTESE,WHITE,CHAMP CAPTAIN JACK,15145
PUGGLE,BROWN,ROCCO,15068
DACHSHUND,RED,BUDDY,15026
POMERANIAN MIX,BLACK,JAZZABELL,15136
GER SHORTHAIR POINT,WHITE/BROWN,DUKE,15037
BOXER,BRINDLE,OSCAR,15102
SCHNAUZER MIN,BLACK/SILVER,SCHNEIDER,15116
AM PIT BULL TERRIER,WHITE/BLACK,CHOPPER,15120
MIXED,BLACK/BROWN,COBIE,15237
AM PIT BULL TERRIER,SPOTTED,BELLA,15122
SIB HUSKY,WHITE/GREY,BINDI,15205
SIB HUSKY,WHITE/GREY,BINDI,15205
SIB HUSKY,WHITE/BLACK,BULLITT,15205
SIB HUSKY,WHITE/BLACK,BULLITT,15205
SCHNAUZER STANDARD,BLACK,MAX,15143
GOLDEN RETRIEVER,GOLD,MAX,15090
MIXED,BLACK/TAN,BUSTER,15026
LABRADOR RETRIEVER,BLACK,KEISHA,15116
LAB MIX,BROWN,ROXY,15102
BEAGLE MIX,WHITE/BLACK,LADY,15024
PARSON RUSSELL TERR,WHITE,LEWIS C STONE,15133
MIXED,BROWN,RILEY,15146
SHIH TZU,WHITE/BRINDLE,BELLA,15237
SHIH TZU,WHITE/BRINDLE,BELLA,15237
SHIH TZU,WHITE/BRINDLE,BELLA,15237
SHIH TZU,WHITE/BLACK,BAILEY,15237
SHIH TZU,WHITE/BLACK,BAILEY,15237
SHIH TZU,WHITE/BLACK,BAILEY,15237
SHIH TZU,WHITE/BLACK,BAILEY,15237
LAB MIX,BLACK,IZZY,15122
LAB MIX,BLACK,IZZY,15122
SHETLAND SHEEPDOG,SABLE,DAISY,15238
YORKSHIRE TERRIER,BLACK/TAN,TOBY,15237
CHIHUAHUA,BROWN,TINKERBELL,15137
GREYHOUND,BLACK,NINA,15090
SHIH TZU,WHITE,MINDY,15101
GER SHORTHAIR POINT,SPOTTED,JET,15236
MIXED,BROWN,CECE,15236
POODLE MIX,WHITE/BLACK,HANNA,15209
SIB HUSKY,WHITE/BLACK/BROWN,SAM,15218
POMERANIAN,WHITE/BLACK,MATTIE,15243
DACHSHUND,BLACK,MAX,15228
POODLE MIN,SPOTTED,TEDDY,15215
MIXED,WHITE/BLACK,MADISON,15223
GOLDEN RETRIEVER,RED,JACK,15122
BOXER MIX,BLACK/BROWN,ZOEY,15147
MORKIE,BLACK/TAN,LAYLA,15129
ENG SETTER,BLACK,SPILLER,15135
POMERANIAN,CREAM,DUNCAN,15102
LHASA APSO,BROWN,ZOE,15037
GOLDEN RETRIEVER,GOLD/RED,CODY,15024
BOXER,BROWN,KHOBIE,15136
DACHSHUND,BROWN,ROXANNE POOLE,15235
MIXED,WHITE/BROWN,BLUE,15143
COCKER SPANIEL,WHITE/BROWN,COCOPUFF,15236
SHIH TZU,WHITE/BLACK,GRACIE,15090
DACHSHUND,RED,BOSLEY STOKES,15116
LABRADOR RETRIEVER,TAN,HARLEY,15236
BORD COLLIE,WHITE/BLACK,HAYLIE,16059
BOSTON TERRIER,WHITE/BLACK,NOEL,15137
MIXED,BLACK/TAN,LADY,15122
MIXED,WHITE/BLACK/BROWN,LOLLY,15225
FOX TERRIER TOY,WHITE/BLACK,MICKEY,15108
LAB MIX,BLACK/TAN,BUCKLES,15237
AM PIT BULL TERRIER,WHITE,KIARA,15214
DACHSHUND,BLACK/BROWN,WILLY,15025
MIXED,APRICOT,JERRY,15014
YORKSHIRE TERRIER,BLACK/BROWN,BEAR,15120
BICHON FRISE,WHITE,SNOWBALL,16059
LABRADOR RETRIEVER,CHOCOLATE,RUBY,15065
GER SHEPHERD,WHITE,SNOW BEAR,15237
AM PIT BULL TERRIER,BRINDLE,TEQUILA,15136
GOLDEN RETRIEVER,BLONDE,COOPERMAX,15209
COCKER SPANIEL,BLACK,CINDERS,15120
MALTESE,WHITE,FOOTS,15146
LAB MIX,YELLOW,JAX,15090
YORKSHIRE TERRIER,SILVER,JENNIE,15146
LABRADOR RETRIEVER,BLACK,JACK BAUER HAGBERG,15238
COCKAPOO,BLACK,HOBBES,15108
RAT TERRIER,WHITE/BLACK,ROWDY,15218
BEAGLE,WHITE/BLACK/BROWN,GRACIE,15218
POODLE TOY,TAN,BO BO,15146
POODLE MIX,BLACK,MISTY,15202
POODLE MIX,BLACK,MISTY,15202
PUG,TAN,BUBBLES,15237
BOXER,BROWN,DEXTER,15084
GER SHEPHERD MIX,BLACK/BROWN,RUGER,15221
SHETLAND SHEEPDOG,BLACK/BROWN,CODY,15235
BRUSSELS GRIFFON,BLACK,MOLLY,15024
BEAGLE,TRI-COLOR,RUDEE,15241
LAB MIX,BLACK,MIDNIGHT,15037
LABRADOR RETRIEVER,GOLD,BRIE DAMICO,15221
GOLDEN RETRIEVER,BROWN,JAKE,15215
MIXED,MULTI,KISMET,15202
COLLIE,WHITE/BROWN,SKIPPY,15133
PUG,BLACK,ZOEY,15133
BULLDOG,WHITE,OTIS,15236
AM PIT BULL TERRIER,SPOTTED,PACINO,15131
SHIH TZU,WHITE/BLACK,SIDNEY,15140
SFT COAT WHEAT TERR,BROWN,LILLI,15237
SFT COAT WHEAT TERR,BROWN,LILLI,15237
LABRADOR RETRIEVER,BLACK,VELVET,15084
POODLE STANDARD,CREAM,DIAMOND,15006
BEAGLE,BLACK/BROWN,DAISY,15102
MALTESE,WHITE,ANGEL,15228
MIXED,BROWN,BAILEY,15090
BEAGLE MIX,WHITE/BROWN,SARA,15122
POODLE TOY,BROWN,SAMMIE,15101
MIN PINSCHER,BLACK,QUIGLEY,15102
LABRADOR RETRIEVER,YELLOW,JASMINE,15239
PUG,BROWN,BRUISER,15120
MIXED,RUST,OLLIE,15205
BEAGLE,WHITE/BLACK/BROWN,BELLA,15235
YORKSHIRE TERR MIX,BLACK/RED,EMILY,15132
RAT TERRIER,SPOTTED,CHEWY,15071
VIZSLA,RUST,SADIE,15236
COLLIE,SABLE/WHITE,NADAL,15239
POODLE TOY,BLACK,KOAL,15228
POMERANIAN,BROWN,SOPHIA,15220
SHIH TZU,WHITE/BLACK,LEXI,15104
GER SHEPHERD,BLACK,ROCCO,15243
LAB MIX,WHITE/BLACK,LUCY,15102
GOLDEN RETRIEVER,GOLD,BUDDY,15235
GOLDEN RETRIEVER,GOLD,BUDDY,15235
MIXED,BLACK/TAN,TOBI,15084
SIB HUSKY,WHITE/BLACK,MYA,15084
MIXED,WHITE,DAISY,15122
AUS SHEPHERD,BLACK,ROCKY,15202
GER SHEPHERD MIX,BLONDE,CODY,15236
LABRADOR RETRIEVER,BLACK,MAX,15101
LABRADOR RETRIEVER,WHITE/BROWN,TANNER,15236
COCKAPOO,WHITE,SASSY,15108
LABRADOR RETRIEVER,YELLOW,BUTTERCUP,15137
MIXED,WHITE/BROWN,SADIE,15143
MALTESE,WHITE,HUGH,15243
BEAGLE MIX,WHITE/RED,HARLEY,15236
MALTESE,WHITE,CHEWY,15025
LAB MIX,BLACK,AXEL,15120
ENG SPRINGER SPANIE,SPOTTED,OTIS,15143
GER SHEPHERD,BLACK,SADIE,15102
GER SHEPHERD,FAWN,TIMBER,15025
GER SHEPHERD,BLACK,HOLLY,15044
LABRADOR RETRIEVER,BLACK,SPIRIT,15071
PEEKAPOO,WHITE/BLACK,MIKEY II,15037
MALTESE,WHITE,EMILY,15090
PARSON RUSSELL TERR,WHITE/BROWN,SAM,15147
BOXER,BROWN,TANK,15106
MIN PINSCHER,BLACK,PENNY,15227
AM PIT BULL TERRIER,BLACK,SHOCKEY,16229
BEAGLE,WHITE/BLACK/BROWN,MILO,15237
MI-KI,TAN,GRACIE,15243
LABRADOR RETRIEVER,BLACK,COCO,15137
SHIH TZU,BLACK,GRACIE,15129
MIXED,WHITE,BAILEY,15129
SHETLAND SHEEPDOG,SABLE,RUBY,15136
GER SHEPHERD MIX,BLACK/BROWN,TRAFTON,15017
MIXED,BLACK,HENDRIX,15116
SHIH TZU,WHITE/BLACK,BAILEY,15108
WEIMARANER,BLUE,SHADOW,15129
BORD COLLIE,BLACK,JAZZY,15044
MORKIE,BROWN,BAILEY,15236
DACHSHUND,RED,DOTTIE,15243
MALTI-POO,WHITE,BAILEY,15209
MIXED,BLACK,MILLIE,15139
BEAGLE,SPOTTED,MILEY JANE,15236
PARSON RUSSELL TERR,SPOTTED,SAMMY,15136
WELSH CORGI PEMBROK,WHITE/ORANGE,ELLWOOD,15106
LABRADOR RETRIEVER,BLACK,LOUIE,15143
BORD COLLIE,WHITE,LUCY,15044
WELSH CORGI CARDIGA,BROWN,MARTIN,15236
GER SHEPHERD,WHITE,MAX,15223
TERRIER MIX,BLACK/BROWN,GINA,15129
MIXED,BROWN,WRIGLEY,15237
BOXER,BROWN,AZA,15108
GER SHEPHERD MIX,MULTI,ZOWIE,15108
BOXER,BROWN,IKE,15108
GER SHEPHERD,BROWN,LACEY,15132
OLD ENG SHEEPDOG,WHITE/BLACK,BEAR,15108
GER SHEPHERD,BLACK/BROWN,KYLIE JO,15332
GOLDEN RETRIEVER,BROWN,ROCKY,15044
BEAGLE,MULTI,SAMMIE,15236
DALMATIAN,SPOTTED,HOLLEY BELL,15209
PAPILLON,MULTI,PENNY,15090
LABRADOODLE,BEIGE,DULCEE,15071
ENG SPRINGER SPANIE,SPOTTED,LILLY,15102
LABRADOR RETRIEVER,YELLOW,GUNNER,15136
POINTER,SPOTTED,SQUEAKER,15071
ROTTWEILER,BLACK,NIKKO,15234
GOLDEN RETRIEVER,BROWN,BUDDY,15044
POODLE TOY,APRICOT,LILO,15044
LABRADOR RETRIEVER,BLACK,IKE,15228
KEESHOND,BLACK/GREY,CALVIN,15237
BEAGLE MIX,SPOTTED,MAGGIE,15122
MIXED,WHITE/BLACK,CALLI,15101
LABRADOR RETRIEVER,YELLOW,MAC,15228
MIXED,WHITE/BLACK/BROWN,OLIVE,15229
LAB MIX,BLACK,TRAVIS,15044
POODLE MIN,BLACK/SILVER,LOUIE,15065
MORKIE,CREAM,MIA,15239
LAB MIX,BLACK,BARNEY,15018
AM ESKIMO DOG,WHITE,BOO,15101
LABRADOR RETRIEVER,YELLOW,CHLOE,15209
MALTESE,WHITE,MOLLY,15235
LAB MIX,BLACK,GRADY,15235
BORD COLLIE MIX,BROWN,JADA,15212
LABRADOR RETRIEVER,BLACK,SAMMY,15235
YORKSHIRE TERRIER,TAN,EMMA,15071
LABRADOR RETRIEVER,BLACK,CROSBY,15234
AM PIT BULL TERRIER,BLACK/BROWN,CHINO,15132
SHIH TZU,BLACK,ASIA,15102
LABRADOODLE,WHITE,MOLLY,15044
LABRADOR RETRIEVER,BLACK,LILLY,15129
MIXED,BROWN,ELLIE,15241
MIXED,BLACK,BARNEY,15241
GER SHEPHERD,BLACK/TAN,TRIVETTE WALKER,15140
GOLDEN RETRIEVER,BROWN,DAISY,15136
SHIH TZU,WHITE/BLACK,ZOEY,15108
BOXER MIX,BROWN,SAM,15057
SHIH TZU MIX,APRICOT,HAILEY,15101
DACHSHUND,BROWN,VINNY,15226
SHIH TZU,WHITE/BROWN,WILLIE,15131
GER SHORTHAIR POINT,SPOTTED,CHASSE,15227
AM PIT BULL TERRIER,TAN,SHELBY,15146
POODLE MIN,BROWN,STAR,15235
POODLE MIN,BROWN,COCO,15235
GOLDEN RETRIEVER,BLONDE,BAILEY,15129
MIXED,WHITE/TAN,BUSTER,15131
LABRADOR RETRIEVER,YELLOW,PUMKIN,15017
BOXER,BROWN,PRINCESS,15017
BEAGLE MIX,BROWN,COLBY,15239
MIXED,BROWN,ZOE,15227
TAG,WHITE,BUDDY,15136
MIXED,OTHER,MAXIMUS,15143
GREAT DANE,BLACK/BRINDLE,JULIE,15236
MIXED,WHITE,DAISY,15143
LABRADOR RETRIEVER,BROWN,HERSHEY,15110
SHIH TZU,SPOTTED,ISABELLA,15234
GER SHEPHERD,BLACK/TAN,DEXTER,15102
PUG,BROWN,ERNEST,15236
PUG,BROWN,IVAN,15236
MALTESE,WHITE,CHESTER,15102
LAB MIX,WHITE/BROWN,AUTUMN,15226
POODLE STANDARD,WHITE,CHARLEY,15147
SIB HUSKY,WHITE/BLACK,FADA,15057
BICHON FRISE,WHITE,GRETA,15146
POMERANIAN,BLACK/TAN,BAILEY,15209
GOLDEN RETRIEVER,RED,RIDLEY,15108
BEAGLE,SPOTTED,LIZZY,15132
CAV KING CHAR SPANI,WHITE/BROWN,PENNY,15146
BASSET HOUND,RED,ELLIE,15237
LABRADOR RETRIEVER,BLACK,PARKER,15102
LABRADOR RETRIEVER,BLACK,PARKER,15102
LAB MIX,GOLD,MOLLY,15120
LAB MIX,GOLD,MOLLY,15120
FRENCH BULLDOG,SPOTTED,BIG PAWPY,15218
LABRADOR RETRIEVER,BROWN,BOSLEY,15241
SHIH TZU,SPOTTED,MOLLIE,15132
ENG SPRINGER SPANIE,SPOTTED,BAILEY,15102
LABRADOR RETRIEVER,YELLOW,MS BAILEY,15068
DACHSHUND MIX,BLACK,COOKIE,15229
DACHSHUND MIX,BLACK,OSCAR,15229
ITALIAN GREYHOUND,WHITE/GREY,PATCH,15202
POMERANIAN,BLUE/TAN,BRODY,15209
LAB MIX,YELLOW,COOPER,15241
SHIH TZU,WHITE/BLACK,CANDI,15037
MIXED,WHITE,POOCHIE,15235
LAB MIX,BLACK,SIDNEY C,15241
GER SHEPHERD MIX,WHITE,SHILOH,15147
MIXED,BLACK,CHANCE,15239
AKITA,WHITE,KARMA,15101
GOLDENDOODLE,BROWN,LOLLI,15239
LAB MIX,BLACK,MILEY,15225
POMERANIAN,BLACK,BERT,15239
GOLDEN RETRIEVER,GOLD,SHAMROCK,15238
CAIRN TERRIER,BRINDLE,BRINDY BEAR,15084
GOLDEN RETRIEVER,RED,GINGER,15108
GOLDEN RETRIEVER,GOLD,KAYAA,15214
PEEKAPOO,BROWN,TANNER,15241
PEKINGESE,BROWN,BUBBA,15133
